num;id;box;genus;Subgenus;sp;ssp;loc;sex;Hauteur_platine;form;Note
93;EL72361;B0003904;Iphiclides;-;feisthamelii;lotteri;Algérie;F;60;;
94;EL72362;B0003904;Iphiclides;-;feisthamelii;lotteri;Algérie;F;60;;
95;EL72363;B0003905;Iphiclides;-;feisthamelii;feisthamelii;Pyrénnées-Orientales;F;60;;
96;EL72364;B0003906;Iphiclides;-;feisthamelii;feisthamelii;Espagne;M;60;;
97;EL72365;B0003906;Iphiclides;-;feisthamelii;feisthamelii;Portugal;M;60;;
98;EL72366;B0003907;Iphiclides;-;feisthamelii;feisthamelii;Aude;M;60;;
99;EL72367;B0003907;Iphiclides;-;feisthamelii;feisthamelii;Aude;M;60;;
100;EL72368;B0003240;Iphiclides;-;podalirius;pseudopersica;Guard;M;60;;
101;EL72369;B0003240;Iphiclides;-;podalirius;pseudopersica;Guard;M;60;;
102;EL72370;B0003240;Iphiclides;-;podalirius;pseudopersica;Hautes-Alpes;M;60;;
103;EL72371;B0003240;Iphiclides;-;podalirius;pseudopersica;Corse;M;60;;
104;EL72372;B0003242;Iphiclides;-;podalirius;pseudopersica;Hérault;M;60;;
105;EL72373;B0003908;Iphiclides;-;podalirius;intermedia;Italie;M;60;;
106;EL72374;B0003908;Iphiclides;-;podalirius;intermedia;Italie;M;60;;
107;EL72375;B0003908;Iphiclides;-;podalirius;intermedia;Italie;M;60;;
108;EL72376;B0003908;Iphiclides;-;podalirius;intermedia;Italie;M;60;;
109;EL72377;B0003908;Iphiclides;-;podalirius;intermedia;Italie;F;60;;
110;EL72378;B0003908;Iphiclides;-;podalirius;zanclaeus;Italie;F;60;;
111;EL72379;B0003908;Iphiclides;-;podalirius;zanclaeus;Sicille;M;60;;
112;EL72380;B0003908;Iphiclides;-;podalirius;zanclaeus;Sicille;M;60;;
113;EL72381;B0003908;Iphiclides;-;podalirius;zanclaeus;Sicille;M;60;;
114;EL72382;B0003910;Iphiclides;-;podalirius;zanclaeus;Croatie;M;60;;
115;EL72383;B0003908;Iphiclides;-;podalirius;creta;Grèce;M;60;;
116;EL72384;B0003908;Iphiclides;-;podalirius;creta;Grèce;M;60;;
117;EL72385;B0003908;Iphiclides;-;podalirius;creta;Grèce;F;60;;
118;EL72386;B0003908;Iphiclides;-;podalirius;creta;Grèce;M;60;;
119;EL72387;B0003908;Iphiclides;-;podalirius;creta;Grèce;F;60;;
120;EL72388;B0003909;Iphiclides;-;podalirius;vadesiaca;Suisse;M;60;;
121;EL72389;B0003909;Iphiclides;-;podalirius;vadesiaca;Suisse;M;60;;
122;EL72390;B0003909;Iphiclides;-;podalirius;vadesiaca;Suisse;F;60;;
123;EL72391;B0003909;Iphiclides;-;podalirius;vadesiaca;Suisse;F;60;;
124;EL72392;B0003909;Iphiclides;-;podalirius;vadesiaca;Suisse;F;60;;
125;EL72393;B0003910;Iphiclides;-;podalirius;elongata;Hongrie;M;60;;
126;EL72394;B0003910;Iphiclides;-;podalirius;elongata;Hongrie;F;60;;
127;EL72395;B0003910;Iphiclides;-;podalirius;elongata;Hongrie;F;60;;
128;EL72396;B0003911;Iphiclides;-;podalirius;centralasiae;Azerbaidjan;F;60;;
129;EL72397;B0003911;Iphiclides;-;podalirius;centralasiae;Crimée;M;60;;
130;EL72398;B0003911;Iphiclides;-;podalirius;centralasiae;Caucase;F;60;;
131;EL72399;B0003911;Iphiclides;-;podalirius;centralasiae;Ourale;M;60;;
132;EL72400;B0003911;Iphiclides;-;podalirius;centralasiae;Ourale;F;60;;
133;EL72401;B0003911;Iphiclides;-;podalirius;flaccidus;Russie;M;60;;
134;EL72402;B0003911;Iphiclides;-;podalirius;juldusa;Turkestan;F;60;;
135;EL72403;B0003911;Iphiclides;-;podalirius;juldusa;Turkestan;F;60;;
136;EL72404;B0003241;Iphiclides;-;podalirius;flammaeus;Nièvre;M;60;;
137;EL72405;B0003238;Iphiclides;-;podalirius;flammaeus;Isère;F;60;;
138;EL72406;B0003237;Iphiclides;-;podalirius;flammaeus;Ile-de-France;M;60;;
139;EL72407;B0003233;Iphiclides;-;podalirius;flammaeus;Indre-et-Loire;M;60;;
140;EL72408;B0003233;Iphiclides;-;podalirius;flammaeus;Vendée;M;60;;
141;EL72498;B0003946;Papilio;Princeps;delalandei;-;Madagascar;M;60;;
142;EL72499;B0003946;Papilio;Princeps;delalandei;-;Madagascar;M;60;;
143;EL72500;B0003947;Papilio;Princeps;delalandei;-;Madagascar;F;60;;
144;EL72501;B0003947;Papilio;Princeps;delalandei;-;Madagascar;F;60;;
145;EL72502;B0003948;Papilio;Princeps;erithonioides;-;Madagascar;M;60;;
146;EL72503;B0003948;Papilio;Princeps;erithonioides;-;Madagascar;M;60;;
147;EL72504;B0003948;Papilio;Princeps;erithonioides;-;Madagascar;M;60;;
148;EL72505;B0003948;Papilio;Princeps;erithonioides;-;Madagascar;M;60;;
149;EL72506;B0003948;Papilio;Princeps;erithonioides;-;Madagascar;M;60;;
150;EL72507;B0003949;Papilio;Princeps;demoleus;demoleus;Laos;M;60;;
151;EL72508;B0003949;Papilio;Princeps;demoleus;demoleus;Laos;F;60;;
152;EL72509;B0003949;Papilio;Princeps;demoleus;demoleus;Laos;M;60;;
153;EL72510;B0003949;Papilio;Princeps;demoleus;demoleus;Laos;F;60;;
154;EL72511;B0004500;Papilio;Princeps;demoleus;demoleus;Sri Lanka;M;60;;
155;EL72512;B0004500;Papilio;Princeps;demoleus;demoleus;Taiwan;F;60;;
156;EL72513;B0004500;Papilio;Princeps;demoleus;demoleus;Thaïlande;M;60;;
157;EL72514;B0004501;Papilio;Princeps;demoleus;demoleus;Vietnam;F;60;;
158;EL72515;B0004502;Papilio;Princeps;demoleus;demoleus;Chine;F;60;;
159;EL72516;B0004502;Papilio;Princeps;demoleus;demoleus;Chine;M;60;;
