id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19;coord20;coord21;coord22;coord23
EL72606;V;-16.5470575;-7.899021817;-11.23391281;8.324570133;6.190436558;-0.384360068;11.38355183;7.64565281;-11.67213262;-6.535090716;-1.095387702;8.284845644;-0.0944684;-17.76302726;1.105675075;1.888799273;5.872490804;-1.884811429;-9.26800615;-1.579463571;0.680260514;6.223043153;6.225964544;1.566503294
EL72607;D;-14.91112871;-5.580758491;4.163000903;22.26252562;-2.655488598;-1.742383926;4.481805585;10.04041717;-2.666937609;-3.877238988;16.50346195;-2.006477825;-7.23190599;2.258474965;-2.216629091;-1.502520622;-0.948263813;-3.096893566;2.851122711;-2.234631587;-5.786309789;-3.923473703;-4.056804391;-0.150544088
EL72607;V;-16.20205168;-6.791687689;-13.42718602;6.610935566;6.413722818;0.655209602;12.59897229;7.026923806;-10.07730799;-4.99525509;-1.478368166;9.354379425;-2.638427139;-18.10139616;1.867322301;0.530655972;4.896704328;0.980963431;-10.28243959;-2.690104469;2.196317684;6.145453602;5.761779621;0.073789758
EL72608;D;-16.09455234;-7.407134249;0.820365884;20.15404814;-2.005165626;-3.266313507;5.990671911;11.1536763;-3.469793508;-6.006561733;16.06317777;-0.771172945;-7.835139993;2.215257175;0.50272291;-4.696108876;-1.296497504;-2.800853043;1.215067975;-3.288065735;-8.082107769;-5.966544072;-4.112898513;0.124693852
EL72608;V;-14.78878126;-6.974175467;-10.90892669;7.570311401;6.262910698;0.330335086;7.709135665;7.871565823;-12.64230893;-7.465563423;-0.222488348;9.926835266;-1.02489064;-18.72343771;0.836980576;2.078972573;4.114313155;1.751920039;-8.501190526;-0.220775231;1.638413181;5.909640438;5.768347551;2.256028065
EL72609;D;-13.88393549;-4.370313635;-14.93941869;9.709026727;9.067256459;10.29400077;18.70825925;9.810387892;-5.031035655;2.471324532;-2.829531307;5.871189937;-3.280658106;-13.89798482;4.549429598;-0.828158265;3.732665648;0.486486417;-6.302738317;-3.035204012;0.147351859;2.456691366;2.077414605;-0.905312612
EL72609;V;-8.870441626;-0.429197884;-18.43230675;11.37205935;7.416903823;11.81549114;15.37205906;7.586073503;-1.779088585;-0.487351196;-4.942793467;9.643420613;-3.409400326;-13.33148495;5.840975383;-4.230501738;1.641666472;5.030339672;-8.892001091;-3.429878388;-0.685116852;-0.078669744;3.723875043;1.703670217
EL72610;D;-8.712410854;-3.655019478;-15.69541745;13.81023444;10.98379799;15.31946695;6.938112326;8.600776722;-5.763526653;-0.408006845;-1.474813501;4.22063017;-2.687109395;-10.63079982;4.903111411;-0.621942105;0.603005331;6.752553139;4.528086739;3.145652044;-3.207158541;-0.392303501;-2.298268361;0.146929403
EL72610;V;-8.101718047;-0.045652144;-16.88945708;18.56295027;5.294142166;12.48853903;10.21170865;7.901348094;-1.488932231;-6.092792938;-1.955297501;10.37801512;-3.172323371;-11.27470404;7.839299489;-5.54502718;-1.160968808;7.489796705;-6.320472353;-0.375739975;-3.947287915;-0.171559121;2.707757528;3.436821921
EL72611;D;-14.34733068;3.018634204;-7.221514405;16.67127101;-4.381415212;13.79077895;14.77653921;9.505144208;9.603244655;-2.128375273;-3.51549887;5.586844288;-1.987461123;-2.987399932;5.423741326;-3.528582897;-0.082210071;-0.15576271;0.694704601;-2.302047614;-4.863477569;-2.99104667;-3.679476967;2.258589429
EL72611;V;-8.014183014;5.752924154;-9.680718195;23.25679734;-2.253672615;15.05473718;10.87872657;4.62575816;12.00977298;-5.815580747;-1.958726296;6.597649273;-0.643660721;3.182691371;6.699280439;-6.516393933;-5.058673679;2.924467968;-1.53008863;-3.110298464;-6.918706574;-3.326580397;-5.173934411;5.701194708
EL72612;D;-6.299301525;-0.4053309;-14.66579506;7.554521803;13.32180586;17.63237413;1.362495964;7.763962559;-6.323046553;-1.559480402;-3.414209038;3.853063483;1.953035067;-11.48306603;2.778853254;1.690260725;1.973907799;6.490161266;6.143341171;1.781607641;-3.849982813;1.337231907;-1.618628493;1.642441661
EL72612;V;-5.729949371;0.480802986;-19.04749572;10.40516226;7.079863501;12.32066794;8.704178515;9.59339384;-5.343040391;-3.322836711;-1.800714735;9.029052504;-3.024538726;-14.71875502;4.203618867;-3.906280965;4.45415721;7.333072535;-3.295946004;-0.298056372;1.044811903;-0.407495046;3.283695208;0.642412198
EL72613;D;-18.33308114;-7.565817185;3.615352224;11.81748434;-3.054311118;-11.10515032;-0.770765553;13.08183177;-8.486945445;-10.14846539;16.54584601;-0.829920555;-0.227890233;-3.211588447;-1.38925463;-1.22901144;2.421530803;-6.71398355;2.632410904;-5.967488838;-6.134441534;-4.064961699;-2.591945239;-2.166396734
EL72613;V;-15.76888603;-3.032319865;-10.82824465;6.433070065;5.100239151;-0.972084906;10.66195579;7.670795992;-9.051188278;-11.06662511;-0.163373719;9.79492164;4.699305687;-14.18868261;-2.071112299;4.547936434;6.931236771;-4.34508954;-6.18350496;-4.188237392;-2.688542773;5.28999518;7.172826921;3.815456392
EL72614;D;-18.21046897;-11.27349675;5.238376968;6.443991756;-2.677103377;-16.22636907;-4.277498706;14.03207656;-12.58495999;-8.309326964;14.55290905;-0.566555911;3.750181439;-4.747392326;1.129030431;-3.861055629;2.3246113;-2.462061547;-3.952340263;-8.724883429;-4.897373557;-3.192194735;-3.05047551;-0.662783626
EL72614;V;-18.92364617;-5.207552154;-4.738792862;2.151790722;-0.80555514;-9.562876109;6.982981799;7.587561736;-9.508460377;-13.04772963;2.197762242;5.975700283;7.879184451;-10.32975218;-2.272680945;-1.163977474;8.822749272;-7.409861063;-6.354620631;-4.776794814;-4.917054603;1.148894895;4.606067838;3.651578257
EL72615;D;-21.27006898;-18.34255179;3.867535796;1.627839376;1.847247504;-19.24735542;-4.027455756;9.459073995;-11.78729418;-3.957841559;14.98950792;-4.793734452;1.78498698;-4.41072222;2.495788197;-4.458921089;0.600864645;-0.374146117;-1.432173279;-7.375430992;-2.93342584;-3.948148982;-3.578978635;1.566670976
EL72615;V;-16.58111304;-5.059626241;-12.29283231;1.012926801;6.518342043;-3.633585605;11.49995437;3.370314772;-6.448413316;-10.37034221;-1.204576514;8.845388209;5.019931178;-11.02650551;-3.617373161;3.651452153;7.597374339;-6.624881999;-4.844711847;-3.10414822;-0.656673492;4.516474122;7.57086415;4.154941462
EL72616;D;-18.18306815;-13.53070612;7.450752045;3.046313341;-1.969651575;-18.32524161;-4.530714826;14.14171208;-13.14072369;-5.099227826;15.02029645;-2.528385664;3.891746318;-3.204158161;2.31847468;-5.515262543;0.849263925;-1.42940387;-3.5299202;-8.608871085;-4.523603634;-4.801045054;-3.872823355;-0.717905193
EL72616;V;-16.52452426;-5.423654339;-7.450128053;3.42924245;2.560923561;-5.968237018;9.148188896;6.55809828;-13.14093727;-12.2198185;1.389020405;6.858368152;2.93056097;-11.45171481;-2.782119124;0.492065824;8.133909533;-4.387261875;-3.887860722;0.182009474;-1.001061463;1.898400407;5.772728913;1.981030895
