id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16
EL75585;V;-18.26974237;9.072803269;-15.75839321;2.06565779;-4.321645617;1.579894013;7.677491587;2.270245948;-2.192035135;-0.616545625;1.041835711;-8.704016707;-2.170925189;1.157271707;2.059030735;-0.210346134;0.192376959
EL75587;D;9.690572333;-21.61202652;-11.25810893;-22.51784545;-10.16679432;6.567261142;-11.83034692;9.184004971;-4.401899296;22.8009363;1.571496803;5.862343497;-15.41150804;-5.416964218;-3.758128462;-4.281256193;-4.125360877
EL75587;V;-6.085456613;-8.626118681;-13.00216452;10.53665868;-10.26413115;2.699845186;9.073884599;10.0411555;0.70022947;-3.535032329;-3.622329358;-8.531132979;-4.150551591;-3.665379918;-1.508313358;-1.145707259;0.171727564
EL75593;D;-22.11898708;11.87370589;-5.621729913;0.235712199;-4.489778077;3.581276595;2.949005322;-3.28875384;-1.379868509;0.564239675;2.301220668;-3.615367768;-2.96721488;-2.594480428;-1.268859935;0.306637432;2.457878454
EL75593;V;-19.63817666;5.455347554;0.925590436;-3.950135011;3.954063967;3.463732281;10.19709653;-0.875053971;2.655133533;-6.0557984;-3.483742956;0.988423349;-1.010063159;-5.037019345;-3.135107226;1.851907651;0.103208616
EL75595;D;-17.38906608;2.162528582;0.823966758;2.201595507;-9.5439564;3.932734427;5.787140525;2.14778028;0.671404789;-5.260417924;-0.528530126;-2.399177005;-6.596306158;-4.127009995;-3.057985133;2.027924095;1.296678981
EL75595;V;-7.306805645;-8.230985071;14.39683727;0.26189928;-0.757161969;2.369459565;10.61696453;3.307444523;5.597441554;-9.156798799;-3.896112715;1.603362114;-3.010202145;-5.740694949;-5.320365324;4.182912432;2.024003088
EL75598;D;-22.71720529;16.34339113;-6.858734153;-0.922131287;-1.328351408;3.053233441;3.961331801;-5.841326056;-1.341635404;1.407300221;4.165032418;-3.550960197;-0.423987713;0.085686516;0.104245778;-0.467946832;1.705925633
EL75598;V;-15.01872827;-2.757745329;-0.058819774;0.818654938;-2.487767355;3.203886978;1.391153423;3.525350654;1.301907332;-4.852363057;-5.042209307;-0.072436999;-2.560312399;-5.901149367;1.478174247;0.929391939;0.61226477
EL75599;D;-22.38137456;13.34128284;-7.975501083;0.573768462;-4.532474832;2.871450506;5.997230838;-2.862988378;-1.349525202;0.688853023;1.957015162;-5.757552362;-2.705292247;-0.798727666;-0.726920305;0.101893122;1.993343729
