id;view;meanb;Ant;Post
EL75722;V;0.220206825;0.215839402;0.224463767
EL75723;D;0.113210928;0.093132692;0.151045721
EL75723;V;0.156373356;0.155329525;0.157537144
EL75729;D;0.272083612;0.220588669;0.355683195
EL75729;V;0.150916521;0.154101959;0.146987152
EL7573;0;;;
EL75730;D;0.080593313;0.067040831;0.108773635
EL75730;V;0.121254101;0.101148511;0.143659934
EL75731;D;0.145681741;0.147360949;0.142367169
EL75731;V;0.149245655;0.117258203;0.18389754
EL75735;D;0.094385167;0.08786314;0.102855814
EL75735;V;0.171064296;0.158270176;0.182250217
EL75736;D;0.099411378;0.094057094;0.106810639
EL75736;V;0.169596381;0.163181355;0.17593904
EL75737;D;0.107918058;0.107585303;0.108415078
EL75737;V;0.169138974;0.150986935;0.186726031
EL75738;D;0.089864317;0.085793174;0.095332568
EL75738;V;0.143129857;0.12230789;0.162705134
EL75739;D;0.135726828;0.120372313;0.158096043
EL75739;V;0.191740882;0.179239916;0.202734287
EL75740;D;0.108661349;0.106179284;0.112306154
EL75740;V;0.180372572;0.157263681;0.199206418
EL75741;D;0.115916106;0.113299511;0.119902476
EL75741;V;0.174889073;0.161069494;0.187698945
EL75748;D;0.108095422;0.093111886;0.133748499
EL75748;V;0.171408227;0.162957579;0.180547875
EL781;V;0.124967401;0.116973989;0.130157822
ELEL43178;V;0.159523154;0.155884964;0.162591451
