;id;view;meanb;Ant;Post
84;ACC0148;D;0.189847786;0.187885734;0.193597199
85;ACC0148;V;0.19508199;0.198917509;0.192380838
86;ACC0151;D;0.186902691;0.187474203;0.185720593
87;ACC0151;V;0.190862222;0.209319352;0.178942649
88;ACC0165;D;0.180375264;0.153349651;0.220146215
89;ACC0165;V;0.202923648;0.224809851;0.188443918
90;ACC0166;D;0.127940039;0.112735195;0.158639479
91;ACC0166;V;0.172508928;0.159273901;0.181585789
92;ACC0168;D;0.124121755;0.074830568;0.24374631
93;ACC0168;V;0.134824827;0.12924081;0.139244909
94;ACC0169;D;0.092209704;0.070736387;0.158453726
95;ACC0169;V;0.121134735;0.107395376;0.133354874
96;ACC0170;D;0.108571273;0.102013524;0.131671954
97;ACC0170;V;0.162405897;0.160802765;0.163958618
98;ACC0171;D;0.116261038;0.103978908;0.157893863
99;ACC0171;V;0.1537855;0.15882028;0.149537623
100;ACC0180;D;0.090453967;0.07530325;0.13318991
101;ACC0180;V;0.113465669;0.129905357;0.10015135
102;ACC0182;D;0.062327825;0.057516076;0.078195284
103;ACC0182;V;0.097291681;0.11690783;0.078176259
104;ACC0183;D;0.091121154;0.076714399;0.127857085
105;ACC0183;V;0.11736392;0.117259087;0.117458581
106;ACC0184;D;0.108997641;0.088993195;0.164780482
107;ACC0184;V;0.161353992;0.18889354;0.14168486
108;ACC0185;D;0.121959771;0.130392307;0.101605598
109;ACC0186;D;0.076690463;0.072055019;0.092693255
110;ACC0186;V;0.126393356;0.158215882;0.10078112
111;ACC0187;D;0.111662048;0.095814859;0.161178879
112;ACC0187;V;0.160778167;0.182618142;0.141750382
113;ACC0192;D;0.10303;0.089687687;0.128610102
114;ACC0192;V;0.14115067;0.133644743;0.146456859
115;ACC0195;D;0.126120419;0.112225781;0.150854944
116;ACC0195;V;0.156781108;0.155695795;0.157399202
117;ACC0207;D;0.275160205;0.313972596;0.215663367
118;ACC0207;V;0.388822835;0.427694229;0.364108477
119;ACC0208;D;0.325367347;0.340571768;0.299871636
120;ACC0208;V;0.422557547;0.46814902;0.397447363
